,desvio_padrao,max,min,label
0,86.10793071395378,7432,2160,ax0
1,1925.572533585533,16232,-16228,ay0
2,97.14079912439075,-728,-8396,az0
3,170.4589517795096,2367,-2971,gx0
4,66.18322614987257,1698,-1558,gy0
5,110.51768499097204,2182,-876,gz0
6,90.9016997838169,9020,2844,ax1
7,42.65803444301846,16244,14040,ay1
8,98.36866509387988,-176,-5312,az1
9,86.87493401162546,1850,-1569,gx1
10,69.18676848177965,1059,-1501,gy1
11,168.89382017635936,2606,-2576,gz1
12,105.1617348888025,7252,468,ax2
13,35.31817407704986,16372,14448,ay2
14,83.65014865162229,-1668,-6020,az2
15,76.73644748353628,1810,-1770,gx2
16,58.477594465851716,1251,-1244,gy2
17,149.24534683894473,2414,-2288,gz2
18,103.78402413625633,3012,-2000,ax3
19,67.08322567466573,-724,-7548,ay3
20,5788.66658239942,16380,-16384,az3
21,114.76590088015541,2299,-1588,gx3
22,127.66048351079256,1877,-2434,gy3
23,54.65046529306353,1322,-852,gz3
24,89.75955844688961,11488,6980,ax4
25,83.02350735686201,-6372,-11904,ay4
26,42.962290662917006,-9496,-14088,az4
27,94.7140508261999,1567,-1775,gx4
28,154.90803905196853,2483,-2566,gy4
29,81.62736768132906,1462,-901,gz4
