,desvio_padrao,max,min,label
0,145.64919799946472,4848,-5108,ax0
1,3317.994459298016,16380,-16384,ay0
2,84.53156865302967,6588,792,az0
3,149.3670224269624,2159,-2667,gx0
4,86.16831154278468,1756,-2043,gy0
5,101.18398820159284,1610,-1416,gz0
6,108.23420179886396,10456,4508,ax1
7,65.818774408331,14556,10964,ay1
8,106.22579636073563,-3308,-9572,az1
9,213.03661348111694,2128,-5552,gx1
10,126.16052796865749,1244,-2259,gy1
11,111.55006002974083,1468,-2643,gz1
12,83.60985971647631,8328,4040,ax2
13,1425.3318711926413,16220,-16360,ay2
14,43.44265196262747,-3092,-7728,az2
15,159.76504388179907,1655,-2424,gx2
16,80.42433335218372,1383,-1528,gy2
17,135.38382001929278,2249,-1351,gz2
18,95.38030029701294,4344,-1008,ax3
19,2492.7080571075367,16336,-16384,ay3
20,47.68279484306431,-3908,-8720,az3
21,155.24566516301783,1677,-2300,gx3
22,83.79638613602187,1115,-1776,gy3
23,110.2015057551669,2166,-1021,gz3
24,162.0307528148333,11136,1436,ax4
25,4835.602536445854,16376,-16384,ay4
26,69.93585692232502,324,-3764,az4
27,138.3201190762327,1011,-2607,gx4
28,64.26648667065128,1330,-1308,gy4
29,153.4516428369477,2649,-1207,gz4
