,desvio_padrao,max,min,label
0,1633.143836856445,16272,-16380,ax0
1,25.167484880522007,-2948,-7524,ay0
2,44.546450147707894,5568,684,az0
3,132.18067418826143,1176,-2259,gx0
4,119.33294375719068,1716,-1969,gy0
5,87.74078526609924,1278,-1464,gz0
6,54.19043255619582,3676,-1916,ax1
7,60.40232103536476,12148,7028,ay1
8,34.534740749290705,15580,12096,az1
9,69.79062750063368,1097,-1200,gx1
10,92.49020345418475,1801,-983,gy1
11,124.67394250387912,922,-2081,gz1
12,45.42520928345333,5048,872,ax2
13,56.74571662905544,13260,9636,ay2
14,32.095390908668804,13396,10280,az2
15,83.18270241747281,1049,-1403,gx2
16,63.2954401434847,1338,-421,gy2
17,135.10349565926705,1225,-1927,gz2
18,41.1385515362449,8564,4448,ax3
19,35.85226693268135,11260,6116,ay3
20,34.218489745722614,13944,9232,az3
21,67.87913694757009,890,-1028,gx3
22,85.87785382206387,1119,-807,gy3
23,114.01844831924619,1038,-1971,gz3
24,45.34585640721342,4464,440,ax4
25,50.37640289483144,13988,10572,ay4
26,36.33419944167223,11228,7356,az4
27,86.43298535524862,849,-1646,gx4
28,71.98316457861681,1520,-441,gy4
29,120.3528142731177,1037,-2015,gz4
