,desvio_padrao,max,min,label
0,3733.008564673412,16368,-16384,ax0
1,42.489138578802844,-3616,-7612,ay0
2,93.83113822839694,4376,-2304,az0
3,90.10482510386676,1122,-2184,gx0
4,149.94533325400135,3258,-2542,gy0
5,106.49424311207048,2127,-2115,gz0
6,105.17197530019698,-3444,-8700,ax1
7,80.65654579828836,-11148,-16124,ay1
8,176.52525237149274,12140,3016,az1
9,140.25439712401143,3127,-3123,gx1
10,85.1037570998186,1730,-1163,gy1
11,222.94035131004998,4158,-1680,gz1
12,88.27528315276791,7388,1152,ax2
13,799.0988120571817,16072,-16268,ay2
14,166.36586674788197,12504,3080,az2
15,127.66181715498116,2720,-2940,gx2
16,79.86369406687042,1753,-981,gy2
17,110.15060075652733,1942,-2087,gz2
18,134.23701717478198,13716,5384,ax3
19,168.4653856541647,16140,6244,ay3
20,114.71938254704654,12500,1780,az3
21,192.85608321284346,3256,-7021,gx3
22,63.17905289225681,1343,-1362,gy3
23,148.7746080553129,1970,-6041,gz3
24,80.64450266989513,4876,-1588,ax4
25,2638.707889095266,16376,-16360,ay4
26,98.44160428502433,8280,2312,az4
27,115.51806072031452,1404,-2996,gx4
28,45.30231295506381,2364,-986,gy4
29,91.58666384830197,1350,-1700,gz4
