,desvio_padrao,max,min
0,318.8992342417899,-11684,-13444
1,342.9577210094562,5368,3804
2,196.16187601060508,8832,7956
3,314.54923239454905,1029,-1017
4,310.8025706135649,741,-561
5,252.90898441929656,570,-541
6,320.7447433707994,192,-1392
7,386.7382039571472,9356,7512
8,153.29814088892272,15328,14756
9,316.2185476849832,462,-871
10,214.92373973109625,634,-462
11,245.61842683316738,446,-696
12,276.90905077299294,2452,1128
13,450.538138674186,14448,12128
14,176.86514636863873,10524,9496
15,357.98487049036027,643,-1390
16,164.2387320335858,584,-316
17,225.748219040594,915,-237
18,300.81083757072315,5276,3868
19,442.2797956045472,13204,10780
20,157.8652133942117,10924,10280
21,319.14404334093405,463,-989
22,175.91373198246916,304,-612
23,222.33786249759623,760,-266
24,274.0466383665379,2468,1200
25,419.36106829318334,15900,13776
26,213.30830644867066,5648,4612
27,337.16552774564605,169,-1462
28,171.21175514549228,668,-207
29,229.42154628543503,513,-608
