,desvio_padrao,max,min
0,422.2152531588597,-12420,-14536
1,496.2804755377749,3736,1240
2,258.8808992567818,9212,7736
3,574.9173867609154,808,-1899
4,381.40450587270203,843,-809
5,253.02803085824306,519,-718
6,383.64736099704896,-484,-2348
7,676.8394976654362,10544,7328
8,182.23014459742933,15100,14372
9,528.2125950789133,830,-1474
10,223.16594363836072,878,-142
11,189.96667707784965,457,-530
12,328.0377417310392,2108,596
13,663.4356637986837,14356,11204
14,206.0542025778654,11452,10416
15,518.954389036262,564,-1674
16,177.23760182308945,772,-35
17,203.81053432048108,694,-339
18,367.6173205930319,4716,2924
19,549.2103116293429,11484,8440
20,191.517076001071,12724,11700
21,479.87838657309834,763,-1374
22,226.14663627832275,682,-400
23,235.26444929058022,638,-541
24,334.84250865145543,1468,-8
25,597.440803427419,15896,13032
26,257.7711822527879,7396,5892
27,481.1311940624926,392,-1682
28,161.68319145786305,722,-1
29,249.0400642466991,389,-818
