,desvio_padrao,max,min
0,559.6102229230628,-816,-3864
1,367.199564269894,-13512,-15432
2,539.7485325593763,7948,5608
3,514.0259506094999,1005,-1972
4,435.5607149410975,1330,-1142
5,400.3179706183573,728,-1383
6,810.9134592544386,2784,-1880
7,581.0457000959564,-10692,-13980
8,799.8128941196185,13768,9216
9,761.1648343821462,994,-2780
10,469.74820957615157,1602,-962
11,578.670300862244,2049,-545
12,518.6998885675608,3568,1244
13,12353.044967391645,16380,-16380
14,388.65423399211795,4112,1684
15,430.77266626377303,215,-1918
16,613.3424038822034,1142,-3374
17,578.875103627717,4283,-561
18,543.5939661180945,6552,3792
19,3162.130355061284,16220,-15892
20,432.18935664821726,2812,604
21,428.67643695449374,720,-1537
22,380.1437775368683,972,-617
23,275.9103832768894,587,-622
24,513.371742112867,2692,-180
25,10022.795933750223,16356,-16384
26,487.1893906890831,112,-3948
27,364.7261135427514,153,-1681
28,368.41736264731065,1207,-571
29,374.6294236976055,1025,-1373
