,desvio_padrao,max,min
0,457.5159695573478,-2324,-4684
1,354.53235451789163,-12780,-14700
2,402.6417881939231,9092,7068
3,372.17683915042323,754,-1001
4,336.75660335025356,995,-957
5,328.71619050481826,982,-676
6,466.2620653666777,2224,-480
7,342.8846196608999,-12640,-14008
8,593.1171297475736,12108,9188
9,415.6072742385532,1000,-957
10,185.9315129288201,626,-409
11,269.00135984786397,640,-692
12,371.6895564849784,4396,2468
13,11484.726359195503,16356,-16384
14,277.85204696024823,2540,1284
15,356.84860249130867,544,-1234
16,223.81800173355137,920,-303
17,188.7707231008029,682,-286
18,366.6490332729653,5812,3428
19,308.4870408947514,16296,14880
20,250.4975496886147,2036,820
21,358.81041735155907,1182,-996
22,239.04379745142938,673,-588
23,173.83318986890853,528,-419
24,341.30099091564324,3716,1816
25,6306.625540937087,16348,-16376
26,298.96081080971135,-1520,-3040
27,346.4071182871391,426,-1304
28,208.52603938117656,855,-232
29,204.2846788185546,405,-648
