,desvio_padrao,max,min
0,704.3413445198287,-9976,-13656
1,291.9092324679026,-8820,-10136
2,474.656193891958,5920,3852
3,515.1539513582323,873,-1369
4,472.14591081571376,1260,-1161
5,519.239222709533,624,-1638
6,538.3122603099432,-2468,-5344
7,545.8556864227028,-12688,-15044
8,858.9309411122643,10208,6476
9,847.947128717351,939,-2737
10,375.80386839413984,1465,-424
11,392.85515142352403,879,-930
12,574.6900256660107,3028,216
13,502.77836071175534,-13460,-15608
14,967.4770488233817,10972,6800
15,908.3068998967256,775,-3418
16,290.9158875001501,1094,-341
17,374.9202340498576,1677,-397
18,474.703606053293,6112,4052
19,546.9065236400093,10644,8140
20,221.98457243691507,13116,12136
21,627.1227799243143,553,-2072
22,327.0438404862565,654,-666
23,267.3319425358668,769,-546
24,441.185994337989,1120,-660
25,5425.244871303046,16320,-16372
26,392.7780523399952,4352,2560
27,579.8102706920602,506,-2125
28,233.1254295438402,876,-334
29,447.7216036779999,653,-1451
