,desvio_padrao,max,min
0,569.0063704388555,-8852,-11660
1,350.7675332752449,-3480,-5168
2,547.2246704964973,12456,10012
3,462.6034209774069,1133,-1132
4,445.8851532625862,1225,-708
5,403.7547150189085,1109,-878
6,671.8516633900671,11916,8764
7,356.5047455504625,-1500,-3156
8,576.1180031903186,14896,12032
9,506.07200861142286,1363,-992
10,367.35841830561066,934,-734
11,447.92492440140006,739,-1163
12,605.6659660241775,12640,10276
13,489.51031204664116,11500,9204
14,412.33659842415153,8612,6616
15,687.7938153254942,2266,-1698
16,501.8536340408427,929,-1382
17,332.7398749774364,895,-529
18,478.07827810934896,14932,13060
19,376.59998725438106,7760,5720
20,279.5545141828334,-5036,-6584
21,380.53618172257944,987,-1098
22,432.0236914799928,594,-1196
23,313.80574182127384,858,-437
24,490.84429465972204,14196,12288
25,417.30452381923686,10796,8772
26,271.5357803310643,-3248,-4472
27,340.24340934101866,415,-1224
28,391.04907160099486,868,-807
29,421.8190725891848,1100,-841
