,desvio_padrao,max,min
0,462.1104612535838,4628,2588
1,327.8275058624581,15160,13536
2,369.5779452294198,-6680,-8396
3,372.5404239810762,216,-1269
4,321.2314249882785,1182,-564
5,313.6465034078971,1207,-62
6,469.60319590053905,7144,4308
7,271.35031527529134,15864,14720
8,461.4138896912402,-976,-3204
9,449.85067700293615,1040,-777
10,332.48165302765204,657,-786
11,329.83949718006784,732,-605
12,458.94633411761777,5372,2984
13,243.62374596906602,16072,14896
14,525.1727014992307,-1668,-4012
15,433.4140934487479,942,-922
16,312.8415974578828,768,-728
17,356.06693191028006,980,-607
18,356.6568569367481,2064,336
19,455.2789667884955,-2400,-4500
20,15634.623609105527,16380,-16376
21,327.4399602980675,1153,-191
22,359.73042684766045,544,-977
23,315.3677439117704,897,-581
24,345.8176421179232,9576,7928
25,414.1880906061882,-8724,-10496
26,318.28616055367536,-11208,-12808
27,342.1132122558262,672,-834
28,356.86401835993496,1204,-498
29,315.445363097954,790,-430
