,desvio_padrao,max,min
0,640.153695295122,-100,-3076
1,411.06397750228615,-8608,-10532
2,288.041138728481,13496,11932
3,477.6798953274044,652,-1497
4,661.7883120756968,1401,-1166
5,830.442218278912,1833,-1876
6,362.6378910152661,7320,5504
7,488.8404238603841,14760,12528
8,447.2771507689612,8288,6268
9,938.8007102681592,1910,-2217
10,442.6505812715036,1117,-1023
11,734.7174757006941,2308,-1073
12,411.2042723513461,7952,6064
13,449.9629762547136,15808,13556
14,481.46317657739934,5780,3360
15,899.8119668019535,1994,-2267
16,506.7663205067993,1620,-392
17,604.7790105484812,1396,-1382
18,491.2236215818616,9948,7796
19,408.5323174486934,14444,12232
20,471.0575862885556,4796,2768
21,883.1847781749865,2021,-1865
22,444.3128852509232,885,-804
23,561.1768120655022,1024,-1514
24,669.1428020983263,7280,4676
25,348.3996877151298,16100,14136
26,473.7856055221602,1484,-820
27,871.436828691558,1713,-2716
28,426.3646761869468,1355,-322
29,1086.6857566012357,1035,-3653
