,desvio_padrao,max,min
0,461.6455020900778,-11932,-14128
1,210.801666027572,-9088,-10228
2,369.27659227197165,-708,-2528
3,259.1680804034324,341,-894
4,292.5619378866636,808,-591
5,397.84350830445885,1162,-769
6,337.5321353589907,-2464,-4336
7,397.3498287403683,12120,9984
8,266.82669731494263,12960,11776
9,380.72485852646923,1037,-1083
10,355.81775939376604,947,-845
11,305.7206533749397,627,-774
12,347.38357128684135,-3300,-4904
13,407.6908220698622,-8492,-10412
14,513.0983531448917,14580,12124
15,499.0993827886386,113,-2510
16,240.23883865853165,1037,-19
17,235.14884647814029,610,-448
18,494.42544271103196,6200,3996
19,309.4512588437798,-14372,-15828
20,577.1370222052991,5964,3332
21,569.9510526352242,596,-1975
22,277.8836409362739,790,-690
23,387.8784814861479,1426,-301
24,418.43514957517607,-204,-2272
25,341.9736855373524,-13204,-14964
26,584.8511605528367,9004,6536
27,390.01905735489385,149,-1935
28,284.42913686892206,1068,-137
29,235.4101960408682,543,-511
