,desvio_padrao,max,min
0,1086.8807853670062,-9296,-14656
1,569.3495235793212,-3428,-8496
2,726.7755626051278,10312,5092
3,421.52487696457484,1354,-909
4,987.514589816272,1703,-3553
5,525.8592587375448,1016,-1394
6,718.6137054078499,2896,-364
7,795.8070077600473,-9752,-13528
8,1406.177966546198,15548,8520
9,1110.6953214540881,1229,-3834
10,632.7500848676356,1696,-1738
11,417.61704993929544,766,-1372
12,743.8122386731748,1032,-2484
13,1054.5096877696287,-9800,-14972
14,1470.7185046772206,14928,7944
15,1228.8264346114956,1464,-4754
16,425.48541408607656,1313,-585
17,417.2609585139736,914,-764
18,1111.1489484313072,6368,-4012
19,799.6388494814393,12884,8404
20,579.4765569028656,15508,9952
21,776.5176800949223,1969,-2300
22,588.0996721645065,2105,-1092
23,600.5188726426505,2263,-1330
24,603.6292690054054,1272,-1856
25,5391.352787714786,16340,-16200
26,538.8072991339297,6172,3540
27,907.2378772405834,1319,-3474
28,453.07751257373167,1186,-1017
29,456.5911627484702,804,-1307
