,desvio_padrao,max,min
0,580.4567250019591,-11708,-14592
1,284.42355739284324,-8252,-9616
2,503.9946840989496,-1072,-3548
3,313.0740453950151,409,-863
4,734.5099304298071,2014,-2094
5,393.2311279642037,1047,-744
6,411.7243738230711,-2316,-4256
7,490.74274971720166,12812,10104
8,399.5026407922731,12308,10512
9,602.9885182157285,1301,-1395
10,322.3898950029296,868,-369
11,349.952068146482,497,-966
12,515.6320843392118,-2720,-5468
13,424.67357063985037,-7900,-9780
14,528.4073519549099,14604,12372
15,556.4867128692293,574,-2373
16,449.33137037157775,1290,-431
17,300.87531819675735,859,-532
18,642.4640765054495,6492,3440
19,293.10242305378506,-14632,-16004
20,500.54486152591755,5776,3276
21,425.47502817439243,1210,-928
22,423.6535240028105,972,-1066
23,506.81963497875654,1440,-1164
24,624.2486991576354,328,-3464
25,349.65341468374083,-12860,-14376
26,530.401585216334,9780,7132
27,321.81317561591544,228,-1203
28,500.6254164542587,1381,-1038
29,374.96293203462125,799,-696
