,desvio_padrao,max,min
0,528.8617452605171,-10736,-13096
1,528.2082543845751,-6568,-9224
2,592.0682379591055,9228,6196
3,699.0364421830953,2147,-2185
4,503.6968861329202,1758,-595
5,612.6090270311074,909,-1555
6,656.3273951314237,2900,-492
7,518.5894653769974,-10620,-13884
8,787.0358202775781,14024,9800
9,1182.563811851183,1629,-3841
10,353.9015959274555,945,-581
11,392.6316640313157,814,-1049
12,649.0955911112013,636,-2792
13,664.5923863542224,-10576,-14548
14,849.6479261435292,13824,8896
15,1130.629984389234,1577,-4154
16,353.6338354852375,1090,-507
17,370.3857427061684,1458,-162
18,468.1190874125942,6584,4324
19,680.8838244517195,11712,8096
20,298.9414283768645,13012,11488
21,625.1397200626434,1505,-1931
22,388.9058594313025,1328,-725
23,407.4499723892493,1264,-998
24,508.33005970530604,352,-2344
25,534.2262352224944,15788,13356
26,498.31084114235364,7908,5332
27,629.4271340671611,988,-2155
28,347.66853697163907,909,-526
29,382.13896896286303,437,-1210
