,desvio_padrao,max,min
0,376.45342022619474,-13700,-15560
1,221.70256110383568,-5948,-7120
2,339.70203178668214,-2408,-4080
3,458.3099710894364,1221,-1008
4,283.32407663310227,1009,-433
5,296.33921424610685,532,-651
6,322.5662102576772,-364,-1964
7,379.85302420804817,13036,11312
8,230.03512775226312,12204,11176
9,360.85653880732156,623,-770
10,200.00323597382118,747,-146
11,228.82804439141634,217,-722
12,349.63253624341087,-2004,-3632
13,321.818560061411,-7036,-8436
14,441.1406378922713,15780,13444
15,298.99739396857626,424,-900
16,225.72716805914172,647,-447
17,214.99011605187806,995,17
18,383.56562098290294,6212,4384
19,184.62980907751597,-14132,-15088
20,387.822095296284,7012,5132
21,317.91131719396213,607,-672
22,172.723608982675,270,-435
23,274.11154007082587,881,-359
24,408.53035333987117,-12,-2036
25,245.01514728685652,-11764,-13028
26,449.5615641933817,11212,8932
27,306.71850465858756,509,-1174
28,207.65363372693483,710,-190
29,255.31886260125788,713,-421
